,Final,lgb,xgb
0,0.9061896681785584,1,1
1,0.8760751962661744,1,1
2,0.8971855521202088,1,1
3,0.8715121030807496,1,1
4,0.7900621175765992,1,1
5,0.8699458122253418,1,1
6,0.8811263322830201,1,1
7,0.8467295646667481,1,1
8,0.8824410915374756,1,1
9,0.8466736555099488,1,1
10,0.8633650422096253,1,1
11,0.8600865483283997,1,1
12,0.8752664208412171,1,1
13,0.014341846108436584,0,0
14,0.9233240962028504,1,1
15,-0.004099350888282061,0,0
16,0.9016145944595337,1,1
17,0.8858066082000733,1,1
18,0.881230640411377,1,1
19,0.9113686561584473,1,1
20,0.8246670842170716,1,1
21,0.9020845174789429,1,1
22,-0.01002734899520874,0,0
23,0.8851206183433533,1,1
24,0.840972113609314,1,1
25,0.8879050493240357,1,1
26,0.9335340142250061,1,1
27,0.8888615250587464,1,1
28,0.9330685615539551,1,1
29,0.33761149644851685,0,0
30,0.8620567202568055,1,1
31,0.8801904201507569,1,1
32,0.9336565017700196,1,1
33,0.8809267163276673,1,1
34,0.857787299156189,1,1
35,0.8774307847023011,1,1
36,0.9087940335273743,1,1
37,0.8621849298477173,1,1
38,0.8788187384605408,1,1
39,0.8086946487426758,1,1
40,0.7793890118598938,1,1
41,0.8625723004341126,1,1
42,0.8998178720474244,1,1
43,0.8674431920051575,1,1
44,0.8602281093597413,1,1
45,0.8595456957817078,1,1
46,0.8816722512245179,1,1
47,0.8877516865730286,1,1
48,0.8234938859939576,1,1
49,0.7970652759075165,1,1
50,0.8062214136123658,1,1
51,0.7221515059471131,1,1
52,0.9390437483787537,1,1
53,0.8783873796463013,1,1
54,0.8726343989372254,1,1
55,0.9024086475372315,1,1
56,-0.01002734899520874,0,0
57,0.8916401743888855,1,1
58,0.8020936131477356,1,1
59,0.8378161072731019,1,1
60,0.9228623986244202,1,1
61,0.9059123277664185,1,1
62,0.880540955066681,1,1
63,0.8741540789604187,1,1
64,0.80710529088974,1,1
65,0.9052012443542481,1,1
66,0.8851073265075684,1,1
67,0.939147698879242,1,1
68,0.9001024246215821,1,1
69,0.893296766281128,1,1
70,0.8494653582572937,1,1
71,0.8963265895843506,1,1
72,0.8751419663429261,1,1
73,0.002717560390010476,0,0
74,0.8650756359100342,1,1
75,0.8502328872680665,1,1
76,0.8460050702095032,1,1
77,0.036595504730939865,0,0
78,0.8552111268043519,1,1
79,0.8603643655776978,1,1
80,0.9152701377868653,1,1
81,0.8991243720054627,1,1
82,0.9152375936508179,1,1
83,0.7325645565986634,1,1
